Player,Position,Team,Minutes Played,Goals per 90 minutes,Assists per 90 minutes,Average Goal Contribution Percent,Average Goal Contribution,Average Assists Contribution Percent,Average Assists Contribution
Ryan Christie,MF,Scotland,484,0.37,0.37,26.06,0.28,26.43,0.28
Andrew Robertson,DF,Scotland,690,0.13,0,9.15,0.1,0,0
David Marshall,GK,Scotland,870,0,0,0,0,0,0
Greg Taylor,DF,Scotland,270,0,0.67,0,0,47.86,0.51
Liam Palmer,DF,Scotland,360,0,0,0,0,0,0
Scott McKenna,DF,Scotland,360,0,0,0,0,0,0
Declan Gallagher,DF,Scotland,420,0,0,0,0,0,0
Stephen O'Donnell,DF,Scotland,588,0,0,0,0,0,0
Scott McTominay,MF,Scotland,599,0,0,0,0,0,0
Callum McGregor,MF,Scotland,912,0,0.1,0,0,7.14,0.08
James Forrest,MF,Scotland,426,0,0,0,0,0,0
Ryan Fraser,MF,Scotland,343,0,0,0,0,0,0
Robert Lewandowski,FW,Poland,658,0.68,0.27,83.95,0.95,49.09,0.56
Grzegorz Krychowiak,MF,Poland,713,0.13,0,16.05,0.18,0,0
Wojciech Szcz?sny,GK,Poland,360,0,0,0,0,0,0
?ukasz Fabia?ski,GK,Poland,360,0,0,0,0,0,0
Bartosz Bereszy?ski,DF,Poland,450,0,0,0,0,0,0
Tomasz K?dziora,DF,Poland,586,0,0.15,0,0,27.27,0.31
Kamil Glik,DF,Poland,546,0,0,0,0,0,0
Jan Bednarek,DF,Poland,720,0,0,0,0,0,0
Mateusz Klich,MF,Poland,326,0,0,0,0,0,0
Piotr Zieli?ski,MF,Poland,719,0,0.13,0,0,23.64,0.27
Róbert Boženík,FW,Slovakia,437,0.62,0,39.49,0.32,0,0
Juraj Kucka,MF,Slovakia,783,0.34,0.11,21.66,0.17,13.75,0.11
Marek Hamšík,MF,Slovakia,849,0.32,0.11,20.38,0.16,13.75,0.11
Róbert Mak,FW,Slovakia,563,0.16,0.16,10.19,0.08,20,0.16
Stanislav Lobotka,MF,Slovakia,687,0.13,0.26,8.28,0.07,32.5,0.26
Marek Rodák,GK,Slovakia,240,0,0,0,0,0,0
Martin Dúbravka,GK,Slovakia,630,0,0,0,0,0,0
?ubomír Šatka,DF,Slovakia,210,0,0,0,0,0,0
Denis Vavro,DF,Slovakia,561,0,0.16,0,0,20,0.16
Peter Pekarík,DF,Slovakia,689,0,0,0,0,0,0
Milan Škriniar,DF,Slovakia,750,0,0,0,0,0,0
Patrik Hrošovský,MF,Slovakia,188,0,0,0,0,0,0
Gerard Moreno,FW,Spain,236,1.14,1.14,37.75,0.74,30.48,0.6
Álvaro Morata,FW,Spain,349,1.03,0,34.11,0.67,0,0
Mikel Oyarzabal,FW,Spain,300,0.6,0,19.87,0.39,0,0
José Luis Gayà,DF,Spain,360,0.25,0.5,8.28,0.16,13.37,0.26
Jordi Alba,DF,Spain,180,0,0.5,0,0,13.37,0.26
Thiago Alcántara,MF,Spain,245,0,1.1,0,0,29.41,0.58
Sergio Busquets,MF,Spain,360,0,0.5,0,0,13.37,0.26
Rodri,MF,Spain,463,0,0,0,0,0,0
Alexander Isak,FW,Sweden,335,0.81,0,29.45,0.4,0,0
Marcus Danielsson,DF,Sweden,180,0.5,0.5,18.18,0.24,24.63,0.33
Robin Quaison,FW,Sweden,576,0.47,0.16,17.09,0.23,7.88,0.11
Seb Larsson,MF,Sweden,505,0.36,0.36,13.09,0.18,17.73,0.24
Marcus Berg,FW,Sweden,505,0.36,0.36,13.09,0.18,17.73,0.24
Victor Lindelöf,DF,Sweden,360,0.25,0,9.09,0.12,0,0
Robin Olsen,GK,Sweden,630,0,0,0,0,0,0
Ludwig Augustinsson,DF,Sweden,180,0,0,0,0,0,0
Pontus Jansson,DF,Sweden,270,0,0,0,0,0,0
Filip Helander,DF,Sweden,270,0,0.33,0,0,16.26,0.22
Andreas Granqvist,DF,Sweden,450,0,0,0,0,0,0
Mikael Lustig,DF,Sweden,585,0,0.15,0,0,7.39,0.1
Albin Ekdal,MF,Sweden,541,0,0.17,0,0,8.37,0.11
Kristoffer Olsson,MF,Sweden,635,0,0,0,0,0,0
Olivier Giroud,FW,France,526,0.68,0,24.2,0.41,0,0
Wissam Ben Yedder,FW,France,278,0.65,0,23.13,0.39,0,0
Kingsley Coman,MF,France,465,0.58,0,20.64,0.35,0,0
Kylian Mbappé,FW,France,270,0.33,0.33,11.74,0.2,23.08,0.39
Corentin Tolisso,MF,France,540,0.17,0,6.05,0.1,0,0
Raphaël Varane,DF,France,630,0.14,0.14,4.98,0.08,9.79,0.16
Clément Lenglet,DF,France,630,0.14,0,4.98,0.08,0,0
Antoine Griezmann,FW,France,720,0.12,0.62,4.27,0.07,43.36,0.73
Steve Mandanda,GK,France,360,0,0,0,0,0,0
Hugo Lloris,GK,France,360,0,0,0,0,0,0
Lucas Digne,DF,France,342,0,0,0,0,0,0
Benjamin Pavard,DF,France,453,0,0,0,0,0,0
Leo Dubois,DF,France,267,0,0.34,0,0,23.78,0.4
Paul Pogba,MF,France,180,0,0,0,0,0,0
Moussa Sissoko,MF,France,477,0,0,0,0,0,0
Leon Goretzka,MF,Germany,262,1.37,0,21.57,0.58,0,0
Serge Gnabry,MF,Germany,503,1.25,0.18,19.69,0.53,5.81,0.16
Leroy Sané,MF,Germany,180,1,0.5,15.75,0.43,16.13,0.44
Toni Kroos,MF,Germany,360,0.75,0.5,11.81,0.32,16.13,0.44
Timo Werner,FW,Germany,245,0.73,0,11.5,0.31,0,0
