Player,Position,Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,Assists per 90 minutes,G+A per 90 minutes,Non-Penalty Goals per 90 minutes,Non-Penalty G+A per 90 minutes,Team,,,,,,
?ukasz Fabia?ski,GK,35,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Poland,,,,,,
Maciej Rybus,DF,31,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Poland,,,,,,
Bartosz Bereszy?ski,DF,28,5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,Poland,,,,,,
Tomasz K?dziora,DF,26,7,6,586,6.5,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Poland,,,,,,
Kamil Glik,DF,32,7,7,546,6.1,0,0,0,0,0,1,0,0,0,0,0,0,Poland,,,,,,
Jan Bednarek,DF,24,8,8,720,8,0,0,0,0,0,2,0,0,0,0,0,0,Poland,,,,,,
Karol Linetty,MF,25,0,0,,,,,,,,,,,,,,,Poland,,,,,,
Kamil Jó?wiak,MF,22,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Poland,,,,,,
Przemys?aw Frankowski,MF,25,4,2,167,1.9,1,0,1,0,0,0,0,0.54,0,0.54,0.54,0.54,Poland,,,,,,
Mateusz Klich,MF,30,6,4,326,3.6,0,0,0,0,0,2,0,0,0,0,0,0,Poland,,,,,,
Grzegorz Krychowiak,MF,31,8,8,713,7.9,1,0,1,0,0,3,0,0.13,0,0.13,0.13,0.13,Poland,,,,,,
Piotr Zieli?ski,MF,26,8,8,719,8,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,Poland,,,,,,
Arkadiusz Milik,FW,26,2,0,41,0.5,1,0,1,0,0,0,0,2.2,0,2.2,2.2,2.2,Poland,,,,,,
Robert Lewandowski,FW,32,8,7,658,7.3,5,2,4,1,1,0,0,0.68,0.27,0.96,0.55,0.82,Poland,,,,,,
David de Gea,GK,30,2,2,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Spain,,,,,,
Pau Torres,DF,24,1,0,30,0.3,1,0,1,0,0,0,0,3,0,3,3,3,Spain,,,,,,
Diego Llorente,DF,27,3,1,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,Spain,,,,,,
Jordi Alba,DF,31,2,2,180,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Spain,,,,,,
José Luis Gayà,DF,25,4,4,360,4,1,2,1,0,0,0,0,0.25,0.5,0.75,0.25,0.75,Spain,,,,,,
Thiago Alcántara,MF,29,3,3,245,2.7,0,3,0,0,0,1,0,0,1.1,1.1,0,1.1,Spain,,,,,,
Sergio Busquets,MF,32,4,4,360,4,0,2,0,0,0,2,0,0,0.5,0.5,0,0.5,Spain,,,,,,
Rodri,MF,24,6,5,463,5.1,0,0,0,0,0,1,0,0,0,0,0,0,Spain,,,,,,
Dani Olmo,"FW,MF",22,1,0,25,0.3,1,0,1,0,0,0,0,3.6,0,3.6,3.6,3.6,Spain,,,,,,
Pablo Sarabia,FW,28,3,1,128,1.4,1,0,1,0,0,0,0,0.7,0,0.7,0.7,0.7,Spain,,,,,,
Gerard Moreno,FW,28,3,3,236,2.6,3,3,3,0,0,0,0,1.14,1.14,2.29,1.14,2.29,Spain,,,,,,
Mikel Oyarzabal,FW,23,6,3,300,3.3,2,0,2,0,0,0,0,0.6,0,0.6,0.6,0.6,Spain,,,,,,
