Player,"Position
",Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,"
Penalty Goals",Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,"Assists
per 90 minutes",G+A per 90 minutes,"   Non-Penalty Goals per 90 minutes
",Non-Penalty G+A per 90 minutes,Team
Joni Kauko,MF,30,5,2,224,2.5,0,0,0,0,0,2,0,0,0,0,0,0,Finland
Lassi Lappalainen,MF,22,4,3,235,2.6,0,1,0,0,0,0,0,0,0.38,0.38,0,0.38,Finland
Pyry Soiri,MF,26,7,3,280,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Tim Sparv,MF,33,5,5,380,4.2,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Glen Kamara,MF,25,8,8,716,8,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Robin Lod,"MF,FW",27,8,8,720,8,0,2,0,0,0,0,0,0,0.25,0.25,0,0.25,Finland
Robert Taylor,"FW,MF",26,0,0,,,,,,,,,,,,,,,Finland
Jasse Tuominen,"FW,MF",25,4,3,282,3.1,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,Finland
Joel Pohjanpalo,FW,26,2,0,83,0.9,1,1,1,0,0,0,0,1.08,1.08,2.17,1.08,2.17,Finland
Fredrik Jensen,FW,23,3,1,70,0.8,1,0,1,0,0,0,0,1.29,0,1.29,1.29,1.29,Finland
Benjamin Källman,FW,22,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,Finland
Teemu Pukki,FW,30,8,8,707,7.9,10,0,7,3,3,1,0,1.27,0,1.27,0.89,0.89,Finland
Andrey Lunyov,GK,29,0,0,,,,,,,,,,,,,,,Russia
Soslan Dzhanayev,GK,33,0,0,,,,,,,,,,,,,,,Russia
Anton Shunin,GK,34,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Guilherme Marinato,GK,35,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Dmitri Chistyakov,DF,27,0,0,,,,,,,,,,,,,,,Russia
Vyacheslav Karavayev,DF,25,1,0,53,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Maksim Belyayev,DF,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Sergei Petrov,DF,30,3,3,217,2.4,1,2,1,0,0,1,0,0.41,0.83,1.24,0.41,1.24,Russia
Mário Fernandes,DF,30,6,6,540,6,1,1,1,0,0,0,0,0.17,0.17,0.33,0.17,0.33,Russia
Fyodor Kudryashov,DF,33,7,6,576,6.4,1,1,1,0,0,1,0,0.16,0.16,0.31,0.16,0.31,Russia
Andrei Semyonov,DF,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Georgi Dzhikiya,DF,27,8,8,720,8,1,0,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Russia
Roman Neustädter,"DF,MF",32,0,0,,,,,,,,,,,,,,,Russia
Ruslan Kambolov,"DF,MF",31,0,0,,,,,,,,,,,,,,,Russia
Yevgeni Chernov,"DF,MF",28,0,0,,,,,,,,,,,,,,,Russia
Vladislav Ignatyev,"DF,FW",34,0,0,,,,,,,,,,,,,,,Russia
Pavel Mogilevets,MF,28,0,0,,,,,,,,,,,,,,,Russia
Daniil Fomin,MF,23,0,0,,,,,,,,,,,,,,,Russia
Aleksandr Erokhin,MF,31,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Zelimkhan Bakayev,MF,24,3,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Dmitri Barinov,MF,24,4,1,147,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Daler Kuzyaev,MF,28,3,1,149,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,Russia
Ilzat Akhmetov,MF,23,5,2,137,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Roman Zobnin,MF,26,6,4,334,3.7,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Magomed Ozdoyev,MF,28,8,8,688,7.6,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Russia
Anton Miranchuk,"MF,FW",25,3,3,177,2,0,1,0,0,0,0,0,0,0.51,0.51,0,0.51,Russia
Aleksei Miranchuk,"MF,FW",25,4,3,241,2.7,1,0,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Russia
Yuri Zhirkov,"MF,FW",37,4,4,294,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Aleksei Ionov,"MF,FW",31,8,6,536,6,2,0,2,0,0,0,0,0.34,0,0.34,0.34,0.34,Russia
Aleksandr Golovin,"MF,FW",24,7,6,570,6.3,2,4,2,0,0,1,0,0.32,0.63,0.95,0.32,0.95,Russia
Reziuan Mirzov,"FW,MF",27,0,0,,,,,,,,,,,,,,,Russia
Fyodor Smolov,"FW,MF",30,1,0,31,0.3,2,0,2,0,0,0,0,5.81,0,5.81,5.81,5.81,Russia
Aleksandr Sobolev,FW,23,0,0,,,,,,,,,,,,,,,Russia
Fyodor Chalov,FW,22,0,0,,,,,,,,,,,,,,,Russia
Nikolay Komlichenko,FW,25,3,0,40,0.4,1,0,1,0,0,0,0,2.25,0,2.25,2.25,2.25,Russia
Denis Cheryshev,FW,30,3,2,169,1.9,2,2,2,0,0,0,0,1.07,1.07,2.13,1.07,2.13,Russia
Artem Dzyuba,FW,32,8,8,706,7.8,8,4,7,1,2,0,0,1.02,0.51,1.53,0.89,1.4,Russia
Jens Teunckens,GK,23,0,0,,,,,,,,,,,,,,,Belgium
Matz Sels,GK,28,0,0,,,,,,,,,,,,,,,Belgium
Simon Mignolet,GK,32,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Thibaut Courtois,GK,28,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Brandon Mechele,DF,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Elias Cobbaut,DF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Dedryck Boyata,DF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Vincent Kompany,DF,34,2,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Jason Denayer,DF,25,3,2,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Thomas Vermaelen,DF,35,6,4,349,3.9,1,0,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Belgium
Jan Vertonghen,DF,33,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Toby Alderweireld,DF,31,8,8,720,8,2,0,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Belgium
Yari Verschaeren,MF,19,3,0,60,0.7,1,0,0,1,1,0,0,1.5,0,1.5,0,0,Belgium
Leander Dendoncker,MF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Dennis Praet,MF,26,3,1,128,1.4,0,1,0,0,0,0,0,0,0.7,0.7,0,0.7,Belgium
Hans Vanaken,MF,28,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Nacer Chadli,MF,31,3,2,201,2.2,2,1,2,0,0,0,0,0.9,0.45,1.34,0.9,1.34,Belgium
Yannick Carrasco,MF,27,6,2,236,2.6,1,4,1,0,0,0,0,0.38,1.53,1.91,0.38,1.91,Belgium
Timothy Castagne,MF,25,3,3,270,3,2,1,2,0,0,0,0,0.67,0.33,1,0.67,1,Belgium
Thomas Meunier,MF,29,4,4,359,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Belgium
Axel Witsel,MF,32,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Belgium
Thorgan Hazard,MF,27,5,5,449,5,1,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,Belgium
Youri Tielemans,MF,23,7,5,495,5.5,1,1,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Belgium
Kevin De Bruyne,"MF,FW",29,6,6,478,5.3,4,7,4,0,0,1,0,0.75,1.32,2.07,0.75,2.07,Belgium
Benito Raman,"FW,MF",26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Dries Mertens,"FW,MF",33,7,5,419,4.7,2,3,2,0,0,1,0,0.43,0.64,1.07,0.43,1.07,Belgium
Eden Hazard,"FW,MF",30,6,6,485,5.4,2,7,2,0,0,0,0,0.37,1.3,1.67,0.37,1.67,Belgium
Adnan Januzaj,FW,25,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Divock Origi,FW,25,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
Christian Benteke,FW,30,3,1,107,1.2,3,0,3,0,0,0,0,2.52,0,2.52,2.52,2.52,Belgium
Michy Batshuayi,FW,27,4,2,200,2.2,3,0,2,1,1,1,0,1.35,0,1.35,0.9,0.9,Belgium
Romelu Lukaku,FW,27,5,5,402,4.5,7,3,7,0,0,0,0,1.57,0.67,2.24,1.57,2.24,Belgium
Frederik Rønnow,GK,28,0,0,,,,,,,,,,,,,,,Denmark
Daniel Iversen,GK,23,0,0,,,,,,,,,,,,,,,Denmark
Jesper Hansen,GK,35,0,0,,,,,,,,,,,,,,,Denmark
Kasper Schmeichel,GK,34,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,Denmark
Jonas Knudsen,DF,28,0,0,,,,,,,,,,,,,,,Denmark
Riza Durmisi,DF,27,0,0,,,,,,,,,,,,,,,Denmark
Joachim Andersen,DF,24,0,0,,,,,,,,,,,,,,,Denmark
