Player,Team,Goals per 90 minutes,Assists per 90 minutes,Total Goal Contribution Percent,Total Goal Contribution,Total Assists Contribution Percent,Total Assists Contribution
Łukasz Fabiański,Poland,0,0,0,0,0,0
Dominik Furman,Poland,0,0,0,0,0,0
Michal Ďuriš,Slovakia,0.61,0,26.29,0.21,0,0
Juraj Kucka,Slovakia,0.34,0.11,14.66,0.12,10.58,0.08
Marek Hamšík,Slovakia,0.32,0.11,13.79,0.11,10.58,0.08
Róbert Mak,Slovakia,0.16,0.16,6.9,0.06,15.38,0.12
Stanislav Lobotka,Slovakia,0.13,0.26,5.6,0.04,25,0.2
Denis Vavro,Slovakia,0,0.16,0,0,15.38,0.12
Ondrej Duda,Slovakia,0,0.24,0,0,23.08,0.18
Lukáš Haraslín,Slovakia,0,0,0,0,0,0
Matúš Bero,Slovakia,0,0,0,0,0,0
Jaroslav Mihalík,Slovakia,0,0,0,0,0,0
Samuel Mráz,Slovakia,0,0,0,0,0,0
Pavol Šafranko,Slovakia,0,0,0,0,0,0
Albert Rusnák,Slovakia,0,0,0,0,0,0
Miroslav Stoch,Slovakia,0,0,0,0,0,0
Paco Alcácer,Spain,1.54,0.51,10.73,0.21,6.13,0.12
Gerard Moreno,Spain,1.14,1.14,7.94,0.16,13.7,0.27
Álvaro Morata,Spain,1.03,0,7.18,0.14,0,0
Pablo Sarabia,Spain,0.7,0,4.88,0.1,0,0
Mikel Oyarzabal,Spain,0.6,0,4.18,0.08,0,0
Jesús Navas,Spain,0.45,0.23,3.14,0.06,2.76,0.05
Santi Cazorla,Spain,0.38,0.38,2.65,0.05,4.57,0.09
José Luis Gayà,Spain,0.25,0.5,1.74,0.03,6.01,0.12
Fabián Ruiz Peña,Spain,0.19,0.19,1.32,0.03,2.28,0.04
Marco Asensio,Spain,0,0.48,0,0,5.77,0.11
Isco,Spain,0,0.55,0,0,6.61,0.13
Dani Ceballos,Spain,0,0,0,0,0,0
Suso,Spain,0,0,0,0,0,0
Iago Aspas,Spain,0,1.64,0,0,19.71,0.39
John Guidetti,Sweden,2.81,0,33.06,0.44,0,0
Mattias Svanberg,Sweden,1,1,11.76,0.16,29.41,0.4
Sebastian Andersson,Sweden,0.99,0,11.65,0.16,0,0
Alexander Isak,Sweden,0.81,0,9.53,0.13,0,0
Viktor Claesson,Sweden,0.78,0,9.18,0.12,0,0
